Title,Director,Production,Music Composer,Cast,Genre,Release Date,Year,index
Barrister Parvateesarrn,R. Prakash,Motion Pictures Combines,,"Lanka Satyam, ",Comedy,1940,1940,0
Bhoja Kalidasu,H. V. Babu,Jaya Films,,"Adhanki Srirama Murthy, Parepalli Subba Rao, ",Mythology,1940,1940,1
Bhookailas,Sundar Rao Nadkarni,Saraswathi Cine Films,,M. V. Subbiah Naidu,Devotional,1940,1940,2
Bondam Pelli,H. M. Reddy,Madras United Artistes Corporation,,L. V. Prasad,Comedy,1940,1940,3
Chaduvukunna Bharya,H. M. Reddy,Madras United Artistes Corporation,,"Lanka Satyam, ",Comedy,1940,1940,4
Chandika,R. S. Prakash,Bhavani Pictures,,P. Kannamba,Adventure,1940,1940,5
Illalu,Gudavalli Ramabrahmam,Indira Devi Films,,"V. Umamaheswara Rao, ",Family,1940,1940,6
Jeevana Jyothi,China Kameswara Rao Dronamraju,M. R. A. Productions,,"Ch. Narayana Rao, ",Drama,1940,1940,7
Kalachakram,Amancharla Gopala Rao,Naveena Bharath,,Banda Kanakalingeshwara Rao,Drama,1940,1940,8
Mahiravana,Ch. Narayana Murthy,Kubera Pictures,,Vemuri Gaggaiah,Mythology,1940,1940,9
Malathi Madhavam,C. Pullaiah,Metropolitan Pictures,,Pushpavalli,Folklore,1940,1940,10
Meerabai,B. Narasimha Rao,Navyakala Films,,Govindarajula Subba Rao,Devotional,1940,1940,11
Sumangali,B. N. Reddy,Vauhini Studios,,"A. S. Giri, ",Social,1940,1940,12
Viswa Mohini,Y. V. Rao,Sri Jagadesh Films,,Chittor V. Nagaiah,Drama,1940,1940,13
Apavadu,Gudavalli Ramabrahmam,Kasturi Films,,Kalyanam Raghuramaiah,"Drama
",1941,1941,14
Bhaktimala,Haribhai Raghunathji Desai,Bhaskar Pictures,,B. R. Panthulu,"Drama
",1941,1941,15
Chandrahasa,M. L. Rangaiah,Vani Pictures,,"G. N. Swami, ","Folklore
",1941,1941,16
Choodamani,P. K. Raja Sandow,Janaki Pictures,,Pushpavalli,"Drama
",1941,1941,17
Dakshayagnam,Ch. Narayana Murthy,Sobhanachala Pictures,,Vemuri Gaggaiah,"Mythology
",1941,1941,18
Devatha,B. N. Reddy,Vauhini Studios,,Chittor V. Nagaiah,"Drama
",1941,1941,19
Dharma Patni,P. Pullaiah,Famous Films,,Santha Kumari,"Drama
",1941,1941,20
Mahatma Gandhi,A. K. Chettiar,Hemalatha Films,,"Bezawada Rajarathnam, ","Documentary
",1941,1941,21
Parvati Kalyanam,Ghantasala Balaramayya,Pratibha Films,,"Parepalli Subba Rao, ","Devotional
",1941,1941,22
Talli Prema,Jyotish Sinha,Raja Rajeswari Films,,C. S. R. Anjaneyulu,"Drama
",1941,1941,23
Tara Sasankam,R. S. Prakash,R. S. P. Pictures,,P. Suri Babu,"Mythology
",1941,1941,24
Tarumaru,N. Jagannath,Vel Pictures,,"Parabrahma Sri, Hemalatha, Dr. Sivarama Krishnaiah","Drama
",1941,1941,25
Tenali Ramakrishna,H. M. Reddy,Rohini Pictures,,"S. P. Lakshmana Swamy, Parepalli Subba Rao, P. Ramatilakam, P. Ansuya, ","Folklore
",1941,1941,26
Babruvahana,R. S. Prakash,,,K. S. Prakash Rao,"Drama
",,1942,27
Bala Nagamma,C. Pullaiah,Gemini Studios,,Kanchanamala,"Folklore
",,1942,28
Bhakta Potana,K. V. Reddy,Vauhini Studios,,Chittor V. Nagaiah,"Biography
",,1942,29
Bhakta Prahlada,Ch. Narayana Murthy,Sobhanachal Productions,,Vemuri Gaggaiah,"Mythology
",,1942,30
Deena Bandhu,M. L. Tandon,Rupavani Production,,C. H. Narayana Rao,"Drama
",,1942,31
Gharana Donga,H. M. Reddy,,,L. V. Prasad,"Drama
",,1942,32
Jeevana Mukthi,T. V. Neelakantan,Gemini Studios,,P. Suribabu,"Devotional
",,1942,33
Patni,Gudavalli Ramabrahmam,Saradhi Films,,K. S. Prakash Rao,"Epic
",,1942,34
Satyabhama,Y. V. Rao,Jagadish Films,,Y. V. Rao,"Mythology
",,1942,35
Satyame Jayam,H. M. Reddy,Rohini Pictures,,,"Drama
",,1942,36
Shanta Bala Nagamma,S. V. S. Rama Rao,Royal Pictures,,"M. Krishna Rao, ","Folklore
",,1942,37
Sumati,K. B. Nagabhushanam,Rajarajeshwari Films,,C. S. R. Anjaneyulu,"Drama
",,1942,38
Bhagyalakshmi,P. Pullaiah,Sri Renuka Films,,Chittor V. Nagaiah,"Drama
",,1943,39
Bhakta Kabiru,Ch. Narasimha Rao,,,C. S. R. Anjaneyulu,"Devotional
",,1943,40
Chenchu Lakshmi,S. Soundararajan,Tamil Nadu Talkies,,C. H. Narayana Rao,"Mythology
",,1943,41
Garuda Garvabhangam,Ghantasala Balaramayya,Pratibha Pictures,,P. Bhanumathi,"Mythology
",,1943,42
Krishna Leela,,,,,"
",,1943,43
Krishna Prema,H. V. Babu,Famous Films,,"Gali Venkateswara Rao, ","Devotional
",,1943,44
Panthulamma,Gudavalli Ramabrahmam,Saradhi Films,,"V. Umamaheswara Rao, ","Drama
",,1943,45
Pathi Bhakti,P. S. Srinivasa Rao,Jayanth Films,,"B. T. Murthy, Subhadra, M. Subba Rao, Shantha Devi","Drama
",,1943,46
Bhishma,Ch. Narayana Murthy,Bhavani Pictures,,"Jandhyala Gaurinatha Sastri, ","Mythology
",,1944,47
Circus King,,,,,"
",,1944,48
Oka Roju Raju,Jyothi Sinha,,,"Jandhyala Gaurinatha Sastri, Purnima","
",,1944,49
Samsara Naradhi,Ch. Narayana Murthy,Bhavani Pictures,,"Madhali Krishamurthy, Bharat Sastri","Drama
",,1944,50
Seeta Rama Jananam,Ghantasala Balaramayya,Prathiba Pictures,,A. Nageswara Rao,"Mythology
",,1944,51
Tahsildar,Y. V. Rao,Sri Jagadesh Films,,Y. V. Rao,"Drama
",,1944,52
Maya Machhindra,C. Pullaiah,Famous Cine Star Combines,,"Jandhyala Gaurinatha Sastry, ","Mythology
",,1945,53
Mayalokam,Gudavalli Ramabrahmam,Saradhi Films,,A. Nageswara Rao,"Folklore
",,1945,54
Paduka Pattabhishekam,K. B. Nagabhushanam,Sri Rajarajeswari Pictures,,C. S. R. Anjaneyulu,"Mythology
",,1945,55
Swarga Seema,B. N. Reddy,Vauhini Studios,,Chittor V. Nagaiah,"Drama
",,1945,56
Valmiki,Ellis R. Dungan,Bama Film Productions,,"Narasmiha Rao, Mani","Biography
",,1945,57
Aadarsham,"H. V. Babu
","Subhodaya Pictures
","Aswathama
",Jaggayya,"Social
",,1952,58
Aakali,"K. J. Mohan Rao
",K & K Combines,"P. S. Diwakar
",Thikkurissy Sukumaran Nair,"Social
",,1952,59
Athinti Kapuram,Acharya,Modern Theaters,S. Dakshinamurthi,M. N. Nambiar,"Drama
",,1952,60
Chinna Kodalu,Ghantasala Balaramayya,"Prathibha Pictures
","Aswathama
",C. H. Narayana Rao,"Social
",,1952,61
Chinnamma Katha,S. V. S. Rama Rao,"Jeimini Productions
","Veluri Krishna Murthy
",Govindarajula Subba Rao,"Social
",,1952,62
Daasi,L. V. Prasad,Rajyam Pictures,C. R. Subbaraman,N. T. Rama Rao,"Drama
",,1952,63
Dharma Devatha,P. Pullaiah,Ragini Films,C. R. Subbaraman,P. Shanthakumari,"Drama
",,1952,64
Kanchana,S. M. Sriramulu Naidu,Pakshiraja Studios,S. M. Subbaiah Naidu,K. R. Ramaswamy,"Social
",,1952,65
Manavathi,Y. V. Rao,"Sarvodaya Films
",B. Rajinikanta Rao,C. H. Narayana Rao,Devotional,,1952,66
Maradalu Pelli,Mukkamala,"M. K. M. Productions
",V. Nagaiah,Mukkamala,"Drama
",,1952,67
